Kunde;KNR;Atera ID;Install.
Cherry Computer Gmbh;;70;
Studio Morandini S.R.L.;;71;
Dr.ssa Francesca Zucali;;72;
Akor & Partner srl;00149;74;
Alka Gmbh;01806;75;
Alps Coliseum;00368;76;
Anrather Heizung des Michael Anrather;00076;77;
Architekt Bampi Zeno;01344;78;
Auto Manuel Aldein des Ebner Manuel;;79;
Auto & Motoservice Aldein des Richard Pichler;;80;
Autoservice Daldoss Werner;;81;
Baron Longo;;82;
Bertignoll Uhren;;83;
Bibliothek Leifers;;84;
Camping Passeier;;85;
Cargo Trans srl;;86;
Casa Salute;;87;
Chizzali Giovanni & Co. KG;;88;
Consulting Team Holzner;;89;
Dallio Bau;;90;
Deca-Tec;;91;
Dekorateur Florian Pircher;;92;
DGL Spenglerei KG des Patrick Lantschner & Co.;;93;
Dr. Michael Simonazzi;;94;
Dr. Ing. Georg Kofler;;95;
Dr. Marco Mariotti;;96;
Zahnärztliche Praxis Dr. Rainer Tanja;;97;
Zahnarztpraxis Dr. Matthias Wolf;;98;
Eggerhof des Lantschner Nikolaus;;99;
Eggers KG;;100;
EL-COM GmbH;;101;
Elsler GmbH;;102;
Emotion Events OHG;;103;
Enntec des Andreas Bicciato;;104;
Estfeller GmbH;;105;
Fahrschule Simon Unterweger;;106;
Heinz Moritz;;107;
Flam srl;;108;
Foradori Britta - Plonhof;;109;
Forti Consult KG;;110;
Giovanelli Fabio Architekt;;111;
Global Solution snc di Fabio Specia & Co.;;112;
Graf & Söhne GmbH;;113;
Haas Elektroanlagen KG des Haas Markus & Co.;;114;
Jost Hans Elektromechanik;;115;
Haus Heinrich der Pichler Katya;;116;
Heimatpflegeverband Südtirol;;117;
Hofer Alfred Gartengestaltung;;118;
Holler G. S.a.s.;;119;
Hotel Mühle Mayer der Wegmann Waltrud;;120;
Hotel Tirolerhof OHG des Holznecht Michael & Barbara;;121;
Hotel Trudner Hof der Familie Franzelin;;122;
Madroz srl | Ipoh Kurtatsch;;123;
Madroz srl | Ipoh Verona;;123;
Kastelaz KG des Calliari Stephan & Co.;;124;
Ilec Gmbh;;125;
KFZ Peer;;126;
Hotel Klammhof OHG d. Franceschini Katya u. Mark;;127;
Köhl Michael & Co. OHG;;128;
Kirnig des Kalser Andreas & Obkircher Josef;;129;
Konsortium Südtiroler Wein;;130;
Langebner Andreas GmbH;;131;
Lantschner GmbH;;132;
Lignotec;;133;
M.A.S. Fresh Logistics Gmbh;;134;
Markus Reisen des Weissensteiner Markus & Co. KG;;135;
Metzgerei Codalonga;;136;
Mi-Ro des Iori Mike & Co OHG;;137;
Mittempergher F.lli s.r.l;;138;
Mkt-Technical Support Kg Des Martin Kloberdanz;;139;
MODA SNC - Gruppo Itas Assicurazioni;;140;
Museum Passeier;;141;
Varesco Trading GmbH;;142;
VE.AN Bau des Verdorfer Andreas;;143;
New Data Srl;;144;
NLB | Nuova Lama Bolzano GmbH;;145;
Oberkofler KG des Gerhard Oberkofler & Co.;;146;
Optik Julius;;147;
Paoli Maler des Paoli Joachim;;148;
Peerbau KG;;149;
Pension Garni Erika der Fam. Bazzolo;;150;
Pension Klughammer der Pernstich Astrid;;151;
Pinzonerkeller;;152;
Porphyr Rotwand KG/SAS des Mayr Harald & Co.;;153;
Zimmerei Unterhauser KG des Unterhauser Peter u. Co.;;154;
WP Fine Food GmbH;;155;
Weingut & Kellerei J. Hofstätter GmbH;;156;
TP Geology des Pinter Thomas;;157;
Tischlerei Sanoll Heinrich;;158;
Tischlerei Passeier Genossenschaft;;159;
Tischlerei Mur des Mur Reinhold & Co. Kg;;160;
Tischlerei F. Pichler OHG;;161;
Rizzolli OHG;;162;
Thaler Rebschulen der Thaler Stefanie;;163;
Südtiroler Obstbaumuseum;;164;
Steiner Franz - Technisches Büro;;165;
Spinnradl GmbH;;166;
Spenglerei Pallabazzer GmbH;;167;
Smartflor OHG des Walder Thomas & Pamer Gertraud;;168;
Schweigl Ernst & Co. OHG;;169;
Schlosserei Pichler Thomas;;170;
Santa Bernhard;;171;
Rocart S.a.s. des Rossi Franco & Co.;;172;
Residence Hof am Keller der Maike March;;173;
Renofix GmbH;;174;
Renner Lechthaler & Alber Gmbh;;175;
Rella KG d. Rella Günter & Co.;;176;
Reichhalter Roman Bauunternehmen;;177;
Realitätenbüro Oberrauch GmbH;;178;
Psenner KG d. Psenner Heidi u. Co.;;179;
Autoservice Auer KG;;182;
Elektro W&W GmbH;00771;191;
Intermontes GmbH;;200;
Biovolt GmbH;;201;
Biovolt GmbH;02448;201;
Est International srl;;202;
Höller Hansjörg - Maler & Lackierer;;203;
